                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2121,                 5.1692,                 1.1781,                0.36571,                0.04807,                0.02037,                0.01681,                 1.1937,                 4.8588,                  1.151,             5.2731e-05,             5.2731e-05,             5.2731e-05
                      2,                 1.2231,                 4.4101,                 1.1634,                0.40754,                0.06093,                0.03173,                0.02493,                 1.1966,                 4.4125,                 1.1611,              7.084e-05,              7.084e-05,              7.084e-05
                      3,                 1.1888,                 4.0505,                 1.1513,                0.46989,                0.07252,                0.04189,                0.03145,                 1.1441,                 4.2223,                 1.1284,             5.3969e-05,             5.3969e-05,             5.3969e-05
